profile,is_bot,session_duration_sec,checkout_velocity_sec,mouse_speed_variance,keystroke_flight_time_ms,impossible_travel_flag,is_datacenter_ip,pages_visited
human_normal,0,67.69979758312743,72.0919718036211,117.7498296522957,215.23426170572105,0,0,5
human_normal,0,182.60125768051677,58.84266589539579,70.51329209349383,123.12395914611199,0,0,8
human_normal,0,105.16985387246866,40.41867796530715,71.99829351995594,190.89410263257432,0,0,6
human_normal,0,87.13361772151917,37.59654289425736,100.69958734499667,58.09706657721726,0,0,6
human_normal,0,127.12347969816965,34.424427072224695,104.17504012982226,213.54217889348186,0,0,1
human_normal,0,179.69367679762155,33.076682359260246,137.43210539118886,117.9367396705331,0,0,7
human_normal,0,164.97327859588273,53.16507295731957,110.61934540299177,179.4523493787092,0,0,2
human_normal,1,385.80262351871124,40.17599123174745,52.16709851921694,148.06143462364156,0,0,6
human_normal,0,165.75188574483815,56.21250285853198,75.49625515424981,182.1053125951872,0,0,4
human_normal,0,56.37667278899979,27.121026313950285,88.5187686377468,130.94196712204578,0,0,9
human_normal,0,163.6008935794524,39.467869177233354,71.30595582355586,140.79761388329595,0,0,5
human_fast,0,28.5217739415905,9.981661773893396,115.6552686216215,189.99218194827864,0,0,4
human_normal,0,80.63330030941238,64.51782021526382,93.94528730950492,51.77496988673291,0,0,8
human_normal,0,134.08903712426167,26.782945393008223,133.91554151083236,169.25140997423384,0,0,4
human_normal,0,134.44844876965087,38.65570946625163,79.53253271728434,138.94837489653332,0,0,9
human_normal,0,149.24914400066996,77.89652251878756,83.47191027786246,119.8258538072563,0,0,4
human_normal,0,73.11446123856274,55.89661293567183,116.73074585530621,147.17521283922096,0,0,4
bot_stealth,1,55.404508923114875,13.833117845363976,54.25858035998644,131.38232538559416,0,0,1
human_normal,0,86.56801223955614,108.7711739569212,143.8434440339824,91.63604422514284,0,0,3
human_fast,0,74.72614743317823,38.494157109873676,83.81251332313985,217.00586809411539,0,0,2
bot_stealth,1,51.95205484676932,14.420805800664715,62.164820376545386,152.9514661853159,0,0,2
human_normal,0,107.69592046781233,36.892312167184706,108.6116109470355,174.1252127506321,0,0,4
human_normal,0,101.84520494648494,36.20288409110001,119.52779115949781,208.1197361804008,0,0,6
bot_standard,1,2.8001040433072855,1.4185905442574982,8.279956967098219,44.45247355186647,1,0,1
human_normal,0,129.98766354427386,43.329885681929994,94.73658420368216,56.24067750335127,0,0,5
bot_stealth,1,81.57919124543798,9.721907422234317,85.76825300097072,146.30725619231788,0,0,1
human_normal,0,76.7042134771672,34.74656472249429,137.94032429613873,220.16576938991474,0,0,2
human_fast,0,59.51566623269229,47.44942141838968,97.74755222894314,130.16783429638392,0,0,4
human_normal,0,85.50263492257484,37.07769219973,77.2133074025909,147.83640416592084,0,0,5
bot_standard,1,6.421317488224688,1.070823402086077,14.206909830331734,42.59610389880927,1,0,1
