profile,is_bot,is_fraud,transaction_type,amount,old_balance_origin,new_balance_origin,old_balance_dest,new_balance_dest,balance_drain_ratio,is_full_drain,dest_balance_unchanged
human_normal,0,0,CASH_OUT,17766.368204051392,-0.9870696628139499,0.0,1688.2839504201095,19454.652154471503,0.0,0,0
human_normal,0,0,PAYMENT,2039.2099160342254,4130.732840408481,2091.5229243742556,0.0,2039.2099160342254,0.4936678296126678,0,0
human_normal,0,0,CASH_OUT,36.77794406313631,36.77794406313631,0.0,0.0,15.570928377687773,1.0,1,0
human_normal,0,0,CASH_OUT,161988.39302052822,0.0,0.0,0.0,161988.39302052822,0.0,0,0
human_normal,0,0,PAYMENT,332943.0486378901,-0.22998650988074987,0.0,0.0,332943.0486378901,0.0,0,0
human_normal,0,0,PAYMENT,247095.26497866897,0.0,0.0,0.0,247095.26497866897,0.0,0,0
human_normal,0,0,CASH_OUT,150634.5954416091,0.0,0.0,0.0,150634.5954416091,0.0,0,0
human_normal,1,0,CASH_OUT,9100.98635041769,22788.134354684928,13687.148004267237,0.0,9100.98635041769,0.39937391138588985,0,0
human_normal,0,0,PAYMENT,15362.852389501762,0.0,0.0,37.48554496010531,15400.337934461868,0.0,0,0
human_normal,0,1,CASH_OUT,9377.30763946648,0.0,0.0,19510.913656272547,28888.22129573903,0.0,0,0
human_normal,0,0,CASH_OUT,0.0,0.0,0.0,-0.9928058844755449,10913.869284276188,0.0,0,0
human_fast,0,0,CASH_OUT,54.11288079162229,54.11288079162229,0.0,0.2219929520658517,14.713057137768692,1.0,1,0
human_normal,0,0,PAYMENT,13237.790573105252,0.0,0.0,1154.7547579010552,14392.545331006308,0.0,0,0
human_normal,0,1,CASH_OUT,120801.47818430563,0.0,0.0,0.0,120801.47818430563,0.0,0,0
human_normal,0,0,PAYMENT,45.227879998179255,45.227879998179255,0.0,0.0,23.642077950138265,1.0,1,0
human_normal,0,0,CASH_OUT,824.239025196299,3127.086145989528,2302.847120793229,-0.9996523298220569,823.239372866477,0.2635805304735149,0,0
human_normal,0,0,PAYMENT,237837.35143084545,0.0,0.0,-0.9921582943582137,237836.35927255108,0.0,0,0
bot_stealth,1,0,CASH_OUT,629796.709301669,-0.2835151492127547,0.0,0.0,629796.709301669,0.0,0,0
human_normal,0,1,CASH_OUT,19712.36675664312,0.0,0.0,534.6012903699939,20246.968047013113,0.0,0,0
human_fast,0,0,TRANSFER,249.33321484186857,823.5797887200563,574.2465738781877,4955.209196241152,5204.542411083021,0.3027432414646344,0,0
bot_stealth,1,1,PAYMENT,398064.88135993056,-0.7257067476958207,0.0,0.0,398064.88135993056,0.0,0,0
human_normal,0,1,CASH_OUT,486833.446522248,0.0,0.0,47.07229766652524,486880.5188199145,0.0,0,0
human_normal,0,0,PAYMENT,16712.94435651966,0.0,0.0,0.0,16712.94435651966,0.0,0,0
bot_standard,1,1,CASH_OUT,167392.27708479823,0.0,0.0,0.0,167392.27708479823,0.0,0,0
human_normal,0,1,TRANSFER,468207.132693876,0.0,0.0,152.85008048618175,468359.98277436214,0.0,0,0
bot_stealth,1,0,TRANSFER,3.0751678849074064,3.0751678849074064,0.0,-0.9669304259167163,1.1174514534402462,1.0,1,0
human_normal,0,0,CASH_OUT,8.298129748257516,21.238826064125917,12.9406963158684,0.0,8.298129748257516,0.39070566909880783,0,0
human_fast,0,0,PAYMENT,6154.592309531116,1458573126.3613715,1458566971.769062,0.0,6154.592309531116,4.2195980429755114e-06,0,0
human_normal,0,1,PAYMENT,278927.1675174259,0.0,0.0,0.0,278927.1675174259,0.0,0,0
bot_standard,1,1,TRANSFER,364.75601254385845,804.0986217396991,439.3426091958406,0.0,364.75601254385845,0.45362098961778397,0,0
