profile,is_bot,is_fraud,session_duration_sec,checkout_velocity_sec,mouse_speed_variance,keystroke_flight_time_ms,impossible_travel_flag,is_datacenter_ip,pages_visited,transaction_type,amount,old_balance_origin,new_balance_origin,old_balance_dest,new_balance_dest,balance_drain_ratio,is_full_drain,dest_balance_unchanged
human_normal,0,0,67.69979758312743,72.0919718036211,117.7498296522957,215.23426170572105,0,0,5,CASH_OUT,17766.368204051392,-0.9870696628139499,0.0,1688.2839504201095,19454.652154471503,0.0,0,0
human_normal,0,0,182.60125768051677,58.84266589539579,70.51329209349383,123.12395914611199,0,0,8,PAYMENT,2039.2099160342254,4130.732840408481,2091.5229243742556,0.0,2039.2099160342254,0.4936678296126678,0,0
human_normal,0,0,105.16985387246866,40.41867796530715,71.99829351995594,190.89410263257432,0,0,6,CASH_OUT,36.77794406313631,36.77794406313631,0.0,0.0,15.570928377687773,1.0,1,0
human_normal,0,0,87.13361772151917,37.59654289425736,100.69958734499667,58.09706657721726,0,0,6,CASH_OUT,161988.39302052822,0.0,0.0,0.0,161988.39302052822,0.0,0,0
human_normal,0,0,127.12347969816965,34.424427072224695,104.17504012982226,213.54217889348186,0,0,1,PAYMENT,332943.0486378901,-0.22998650988074987,0.0,0.0,332943.0486378901,0.0,0,0
human_normal,0,0,179.69367679762155,33.076682359260246,137.43210539118886,117.9367396705331,0,0,7,PAYMENT,247095.26497866897,0.0,0.0,0.0,247095.26497866897,0.0,0,0
human_normal,0,0,164.97327859588273,53.16507295731957,110.61934540299177,179.4523493787092,0,0,2,CASH_OUT,150634.5954416091,0.0,0.0,0.0,150634.5954416091,0.0,0,0
human_normal,1,0,385.80262351871124,40.17599123174745,52.16709851921694,148.06143462364156,0,0,6,CASH_OUT,9100.98635041769,22788.134354684928,13687.148004267237,0.0,9100.98635041769,0.39937391138588985,0,0
human_normal,0,0,165.75188574483815,56.21250285853198,75.49625515424981,182.1053125951872,0,0,4,PAYMENT,15362.852389501762,0.0,0.0,37.48554496010531,15400.337934461868,0.0,0,0
human_normal,0,1,56.37667278899979,27.121026313950285,88.5187686377468,130.94196712204578,0,0,9,CASH_OUT,9377.30763946648,0.0,0.0,19510.913656272547,28888.22129573903,0.0,0,0
human_normal,0,0,163.6008935794524,39.467869177233354,71.30595582355586,140.79761388329595,0,0,5,CASH_OUT,0.0,0.0,0.0,-0.9928058844755449,10913.869284276188,0.0,0,0
human_fast,0,0,28.5217739415905,9.981661773893396,115.6552686216215,189.99218194827864,0,0,4,CASH_OUT,54.11288079162229,54.11288079162229,0.0,0.2219929520658517,14.713057137768692,1.0,1,0
human_normal,0,0,80.63330030941238,64.51782021526382,93.94528730950492,51.77496988673291,0,0,8,PAYMENT,13237.790573105252,0.0,0.0,1154.7547579010552,14392.545331006308,0.0,0,0
